kp,kd,ki,f1, f2 
3.4716389968752637,0.6501433592503547,0.8354884425438849,2.007387541529494,0.04375774637060201
5.8463029205653205,1.05143440567254,0.033058820499478836,1.9383051973745975,0.047003338788614214
6.922004668672046,2.9063290195028344,8.342397585909652,2.816686421745093,0.031655652962801845
6.303380552096108,2.594633291006639,1.7479269887693927,2.670401176197323,0.03302135427165008
8.723102952577879,2.1224809876110102,1.169744818768581,2.1083471328469434,0.04150833106490336
4.634376115319246,1.1633912456349238,1.5826057371309543,2.1574136604051426,0.03922860843973465
5.718294390889152,1.8401054601937072,6.802057580640785,2.502705335543442,0.034736351241606525
8.373319206007086,2.453934937212108,2.6242104767112373,2.2784105264436647,0.03761042963247858
2.5894425435309176,0.8386973488837302,2.5015572231001815,2.507847800072281,0.03425622693180403
8.434592345924694,0.9595446305698374,0.0,1.8651982037985841,0.05991415903265598
6.105899235778654,2.713105409531483,6.398609955649474,2.8877452478963286,0.031187506388328456
10.0,3.300862713306593,9.212501279342046,2.4813057926466584,0.034739576982107084
